YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M
2021,5,2,95.59,3.02,4.32,2.11,2.21,239.5,5.54,6.73,3.31,3.41,241.75,6.83,7.83,1.21
2021,5,3,95.27,2.66,4.9,1.01,3.89,220.5,4.72,7.06,1.88,5.19,222.44,3.53,6.91,1.1
2021,5,4,95.22,2.54,3.8,1.49,2.3,236.69,4.62,5.88,3.25,2.64,239.5,4.79,7.29,0.99
2021,5,5,95.32,3.62,5.97,1.7,4.27,283.94,5.8,8.03,2.33,5.7,283.69,5.65,7.58,1.62
2021,5,6,95.97,2.45,4.09,1.3,2.78,312.94,3.84,7.22,1.94,5.28,311.88,7.32,8.26,1.15
2021,5,7,95.55,2.34,5.01,0.24,4.77,253.0,3.71,7.45,0.3,7.16,254.69,3.26,7.6,1.11
2021,5,8,95.8,3.55,5.99,1.12,4.88,292.44,5.62,8.39,1.56,6.83,292.12,7.45,8.21,1.61
2021,5,9,95.71,4.16,6.94,0.45,6.48,210.06,6.67,10.03,0.62,9.41,212.81,4.88,7.61,1.91
2021,5,10,95.75,3.14,4.55,1.78,2.77,322.81,5.09,6.89,3.87,3.02,320.5,6.37,8.02,1.38
2021,5,11,96.28,2.59,4.34,1.42,2.93,305.81,4.52,6.55,2.01,4.53,306.31,6.25,7.98,1.12
2021,5,12,96.67,2.68,3.73,1.55,2.17,196.69,4.48,6.23,3.06,3.17,196.38,6.28,8.39,1.21
2021,5,13,96.75,2.23,2.76,1.51,1.25,159.06,3.66,5.38,2.89,2.48,142.88,7.84,8.43,1.0
2021,5,14,96.77,1.47,2.5,0.33,2.18,226.75,2.33,4.45,0.68,3.77,240.31,5.43,8.26,0.65
2021,5,15,96.73,1.66,2.62,0.75,1.87,191.75,2.68,5.64,0.83,4.81,191.94,6.84,8.22,0.73
2021,5,16,96.72,1.48,2.29,0.68,1.62,178.25,2.63,4.91,0.62,4.29,181.94,2.35,7.69,0.7
2021,5,17,96.86,1.45,2.18,0.15,2.03,155.56,2.07,3.3,0.41,2.88,154.31,5.97,7.83,0.74
2021,5,18,97.05,2.09,2.75,1.26,1.49,193.44,3.09,4.62,1.88,2.74,194.25,6.99,8.04,1.02
2021,5,19,97.1,2.05,2.59,0.41,2.17,188.31,3.45,4.88,0.56,4.32,188.5,8.15,8.27,0.84
2021,5,20,97.28,2.19,3.07,0.68,2.39,194.56,3.86,5.76,0.93,4.82,194.06,7.89,8.19,0.95
2021,5,21,97.5,2.03,2.97,0.82,2.15,167.62,3.36,5.56,0.73,4.82,167.94,8.12,8.17,0.89
2021,5,22,96.98,2.88,3.88,2.12,1.76,301.38,5.22,5.88,3.3,2.58,301.19,5.66,7.8,1.21
2021,5,23,96.38,3.43,4.73,2.31,2.41,306.19,5.89,6.97,4.72,2.25,307.06,6.62,7.89,1.52
2021,5,24,96.52,2.08,2.86,1.23,1.63,167.12,3.31,5.56,1.41,4.15,172.19,2.25,6.86,1.05
2021,5,25,96.61,2.49,3.49,1.86,1.63,187.0,3.91,5.48,2.63,2.85,192.56,5.56,7.52,1.23
2021,5,26,96.18,2.69,4.4,1.74,2.66,256.06,4.8,6.55,2.61,3.94,257.44,6.6,7.66,1.16
2021,5,27,96.07,1.99,2.5,1.55,0.95,251.56,3.59,4.74,2.33,2.41,250.31,7.74,8.43,0.88
2021,5,28,95.49,2.09,3.86,1.07,2.79,159.94,3.59,5.59,2.2,3.38,163.56,3.88,7.39,0.95
2021,5,29,95.59,3.39,5.35,1.59,3.76,55.38,4.72,6.8,3.26,3.55,55.75,2.23,7.96,1.73
2021,5,30,96.38,2.48,3.38,1.55,1.82,179.44,3.66,4.6,3.16,1.45,207.31,2.79,8.22,1.26
2021,5,31,96.82,1.73,3.09,0.32,2.78,241.94,2.75,4.33,0.14,4.19,268.94,7.58,8.51,0.8
2021,6,1,96.7,2.0,2.71,1.33,1.38,201.81,3.29,4.84,2.31,2.53,206.62,6.2,8.01,0.98
2021,6,2,96.45,2.42,3.52,1.43,2.09,176.62,4.23,5.1,2.7,2.41,178.75,5.61,7.65,1.12
2021,6,3,96.02,2.37,3.78,1.38,2.41,206.75,4.16,5.39,3.36,2.03,208.62,3.92,7.45,1.09
2021,6,4,95.94,2.33,3.32,1.37,1.95,283.25,4.04,4.68,2.91,1.77,283.25,7.16,8.17,1.03
2021,6,5,96.17,2.36,3.31,0.37,2.95,237.81,4.17,5.38,0.55,4.83,239.12,8.07,8.37,1.02
2021,6,6,96.28,1.75,2.41,0.45,1.96,233.25,3.27,4.84,0.59,4.24,233.75,6.84,8.23,0.74
2021,6,7,96.3,2.06,3.48,1.37,2.11,208.94,3.43,4.76,1.94,2.81,211.69,5.34,7.74,0.96
2021,6,8,96.28,1.45,2.04,0.77,1.27,276.31,2.73,4.05,1.3,2.75,277.06,5.87,7.78,0.61
2021,6,9,96.24,1.84,2.85,0.66,2.2,319.88,2.91,4.32,0.98,3.34,320.31,3.96,7.47,0.88
2021,6,10,95.9,1.7,2.45,0.74,1.7,202.56,2.99,3.84,0.93,2.91,203.25,4.6,7.64,0.78
2021,6,11,95.47,2.28,3.17,1.44,1.73,71.75,3.57,4.33,2.86,1.47,73.69,2.53,7.71,1.08
2021,6,12,95.48,2.06,2.58,1.41,1.17,58.81,3.13,3.59,2.48,1.11,58.12,4.32,7.91,1.02
2021,6,13,95.64,1.52,2.02,1.12,0.9,193.12,2.8,5.14,1.21,3.93,200.81,4.28,7.99,0.72
2021,6,14,95.46,2.01,2.37,1.55,0.83,270.88,3.76,5.91,2.66,3.24,271.44,7.89,8.29,0.87
2021,6,15,95.56,3.04,3.89,2.02,1.88,325.5,5.0,5.85,3.59,2.27,325.94,7.18,8.28,1.42
2021,6,16,95.86,2.8,3.58,1.95,1.62,318.25,4.7,5.41,3.93,1.48,318.19,8.64,8.71,1.27
2021,6,17,96.13,2.2,2.71,1.16,1.55,325.88,3.59,5.53,1.64,3.89,325.12,8.88,8.93,1.05
2021,6,18,96.0,2.48,3.88,1.62,2.26,230.12,4.16,5.73,2.44,3.3,232.69,7.57,8.37,1.16
2021,6,19,95.58,2.7,4.54,1.4,3.14,258.88,5.06,6.8,2.2,4.59,260.5,4.02,7.6,1.11
2021,6,20,95.49,2.12,3.04,1.56,1.48,220.56,3.82,5.53,2.17,3.36,222.69,6.93,7.82,0.94
2021,6,21,95.14,2.57,4.58,1.48,3.09,237.44,4.64,6.7,2.06,4.62,239.31,6.49,7.81,1.13
2021,6,22,95.51,2.85,4.16,1.82,2.34,322.5,4.6,6.03,2.95,3.09,321.5,2.85,8.16,1.32
2021,6,23,96.6,1.91,2.31,1.27,1.04,160.69,3.22,4.78,1.34,3.44,159.06,8.35,8.7,0.85
2021,6,24,96.93,2.13,3.22,1.0,2.22,148.06,3.34,5.38,1.77,3.6,149.0,8.42,8.46,1.01
2021,6,25,96.77,2.78,4.41,1.59,2.82,180.56,4.52,6.07,2.74,3.33,182.5,8.22,8.53,1.29
2021,6,26,96.58,2.84,4.6,1.59,3.02,186.31,4.82,6.17,2.76,3.41,189.06,6.61,8.06,1.34
2021,6,27,96.59,2.32,2.9,1.7,1.2,196.75,4.07,5.08,3.41,1.67,199.69,6.94,7.94,1.05
2021,6,28,96.78,2.08,2.78,0.66,2.12,186.5,3.72,5.42,0.53,4.89,188.5,7.46,8.07,0.95
2021,6,29,96.78,2.25,3.39,1.35,2.04,210.0,3.95,5.95,1.55,4.39,211.62,7.99,8.26,1.02
2021,6,30,96.27,1.95,2.91,0.99,1.93,253.69,3.37,4.86,1.31,3.55,255.25,7.78,8.21,0.88
2021,7,1,95.7,2.6,5.52,0.36,5.16,251.81,4.11,8.1,0.94,7.16,252.06,4.37,7.66,1.27
2021,7,2,95.42,2.91,4.8,0.4,4.39,301.81,4.69,6.56,0.61,5.95,301.25,5.86,8.34,1.39
2021,7,3,95.55,3.33,4.7,2.05,2.64,311.12,5.54,6.63,4.42,2.21,311.94,6.78,8.1,1.51
2021,7,4,95.77,1.55,2.88,0.17,2.7,245.62,2.68,5.23,0.34,4.89,260.5,6.42,8.04,0.7
2021,7,5,96.16,1.2,2.14,0.17,1.96,187.0,1.85,4.18,0.05,4.12,172.0,7.16,7.64,0.58
2021,7,6,96.22,1.74,2.18,0.6,1.59,252.19,2.85,4.48,0.91,3.57,254.06,7.4,7.53,0.77
2021,7,7,96.04,1.73,2.15,0.43,1.72,222.69,3.03,4.88,0.38,4.49,224.25,5.82,7.3,0.76
2021,7,8,95.87,1.76,3.08,0.76,2.32,202.88,2.89,4.23,1.2,3.03,203.31,3.0,7.26,0.81
2021,7,9,95.74,2.41,3.35,1.68,1.67,285.56,4.31,5.54,2.42,3.12,286.38,6.36,7.86,1.05
2021,7,10,96.06,1.72,2.77,0.68,2.09,262.69,3.09,4.2,1.41,2.8,261.38,7.04,7.87,0.81
2021,7,11,96.05,2.91,4.67,1.54,3.13,180.25,4.68,6.34,2.83,3.52,182.88,5.92,7.41,1.43
2021,7,12,96.33,2.28,3.45,1.4,2.05,212.12,3.99,5.16,2.57,2.59,215.38,6.85,7.82,1.09
2021,7,13,96.57,2.98,5.34,1.55,3.78,213.88,4.98,7.37,2.84,4.53,216.31,7.66,7.98,1.41
2021,7,14,96.59,1.74,2.83,1.24,1.59,251.12,3.08,4.3,2.22,2.08,252.62,5.73,7.59,0.77
2021,7,15,96.38,1.77,2.31,1.24,1.08,259.25,3.16,4.43,1.84,2.59,260.31,6.35,7.32,0.77
2021,7,16,96.22,1.88,2.23,1.35,0.88,254.19,3.28,4.6,2.01,2.59,255.88,7.11,7.68,0.82
2021,7,17,96.16,2.44,4.63,1.38,3.26,241.06,3.95,6.7,1.88,4.82,241.94,5.94,7.65,1.15
2021,7,18,96.27,2.76,4.22,1.41,2.81,312.62,4.36,5.77,2.66,3.11,312.69,6.33,7.52,1.3
2021,7,19,96.2,1.63,2.19,0.93,1.27,204.0,2.71,4.93,1.33,3.6,201.25,6.2,6.87,0.77
2021,7,20,95.95,1.57,2.55,0.48,2.06,211.56,2.79,5.44,0.45,4.99,212.19,6.48,6.72,0.69
2021,7,21,95.88,2.59,3.99,1.8,2.2,312.62,4.54,5.6,3.28,2.32,312.44,5.4,6.55,1.16
2021,7,22,96.43,1.76,2.21,1.17,1.04,208.44,2.84,4.38,1.76,2.62,264.94,7.21,7.76,0.86
2021,7,23,96.46,1.34,2.15,0.67,1.48,154.88,2.08,4.3,0.97,3.33,176.25,6.71,7.56,0.65
2021,7,24,96.17,1.97,4.26,0.4,3.86,197.44,2.63,6.07,0.52,5.55,204.19,5.59,7.17,1.12
2021,7,25,95.81,2.0,2.55,1.39,1.16,226.75,3.45,4.46,2.53,1.93,230.12,4.76,6.99,0.95
2021,7,26,95.9,1.46,2.23,0.39,1.84,280.12,2.34,3.81,0.66,3.16,283.06,5.36,7.38,0.69
2021,7,27,96.0,1.45,2.52,0.52,1.99,164.25,2.59,4.97,0.7,4.27,232.25,7.36,7.58,0.66
2021,7,28,96.01,1.68,2.42,0.8,1.62,261.19,2.93,5.2,1.24,3.95,259.31,6.92,7.53,0.72
2021,7,29,95.79,2.16,3.72,0.87,2.85,265.44,3.85,5.63,1.27,4.36,267.19,4.1,5.45,0.95
2021,7,30,95.7,2.83,4.1,1.72,2.38,315.94,4.81,5.67,3.61,2.06,315.56,6.45,7.79,1.3
2021,7,31,95.91,1.29,1.97,0.27,1.7,183.44,2.24,4.79,0.52,4.27,192.25,5.81,7.57,0.66
2021,8,1,95.64,1.33,2.33,0.46,1.86,266.12,2.45,4.93,0.65,4.28,266.81,4.45,7.09,0.59
