YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
2023,4,12,6.89,7.19,0.77,101.01,2.44,2.98,1.64,1.35,253.19,4.85,7.59,1.91,5.68,255.19
2023,4,13,7.32,7.29,0.62,100.77,2.05,2.93,0.58,2.35,223.5,4.18,7.38,0.83,6.56,225.62
2023,4,14,3.3,6.94,0.7,100.65,2.22,3.4,1.34,2.06,177.69,4.22,5.56,1.95,3.61,179.12
2023,4,15,5.74,6.98,0.88,100.43,2.51,3.53,1.81,1.72,222.12,4.73,5.67,3.31,2.36,223.12
2023,4,16,4.01,6.84,0.83,100.15,2.51,4.23,1.18,3.05,210.25,4.75,6.82,1.48,5.34,211.62
2023,4,17,7.16,7.56,1.31,99.95,3.72,5.43,2.45,2.99,266.31,6.77,8.34,5.15,3.2,267.56
2023,4,18,7.6,7.71,1.23,100.38,3.65,5.54,2.49,3.05,270.94,6.97,8.65,4.6,4.05,272.31
2023,4,19,7.5,7.47,0.55,101.14,1.74,2.67,0.64,2.04,168.0,3.6,6.21,0.96,5.25,168.38
2023,4,20,6.92,7.23,0.73,101.2,2.26,2.66,1.2,1.47,221.31,4.65,7.12,1.67,5.45,223.38
2023,4,21,7.21,7.26,1.02,100.81,3.12,4.35,2.35,2.0,208.12,5.92,7.31,3.19,4.12,209.62
2023,4,22,2.84,7.22,1.1,100.31,3.21,4.92,1.52,3.41,217.5,5.59,7.8,3.5,4.3,204.25
2023,4,23,6.89,7.61,0.9,100.66,2.54,3.75,1.54,2.2,232.88,4.56,6.39,2.53,3.86,233.44
2023,4,24,6.85,7.46,0.89,101.16,2.2,4.11,0.44,3.67,161.19,3.49,6.82,0.6,6.22,160.25
2023,4,25,5.66,7.6,0.5,101.46,1.5,2.38,0.09,2.28,115.38,2.99,5.31,0.29,5.02,114.19
