YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M
2021,4,18,100.35,2.63,3.37,1.48,1.88,279.69,4.01,6.57,2.16,4.41,280.06,5.2,7.28,1.7
2021,4,19,100.33,2.32,3.79,1.12,2.66,248.56,3.61,7.58,1.32,6.26,250.31,3.81,6.88,1.41
2021,4,20,100.46,4.88,6.95,3.02,3.92,205.94,7.68,11.36,3.55,7.81,206.88,7.42,7.42,3.24
2021,4,21,100.06,7.88,11.16,5.51,5.66,261.38,10.76,13.9,7.73,6.17,262.0,5.36,7.09,5.44
2021,4,22,100.8,5.95,9.18,3.38,5.8,287.94,8.76,11.51,5.99,5.52,288.69,5.46,7.58,4.06
2021,4,23,101.09,4.36,5.77,3.52,2.26,261.56,6.94,8.22,5.2,3.02,262.88,6.65,7.69,2.86
2021,4,24,100.72,2.84,3.83,0.98,2.85,217.31,4.66,6.6,0.97,5.63,217.69,3.64,7.2,1.75
2021,4,25,100.08,5.55,7.33,3.48,3.86,273.75,8.11,10.04,5.66,4.38,274.75,4.52,7.32,3.8
2021,4,26,101.11,4.48,6.88,0.33,6.55,292.44,6.41,8.85,0.45,8.4,293.0,7.76,7.82,3.05
2021,4,27,100.71,3.99,5.29,2.45,2.84,203.88,6.69,9.66,2.9,6.76,205.19,7.17,7.46,2.54
2021,4,28,100.35,4.31,5.47,3.13,2.34,244.0,7.45,9.38,5.59,3.79,245.19,6.13,7.17,2.72
2021,4,29,99.73,4.95,7.98,2.42,5.55,240.31,7.92,12.48,3.26,9.23,241.19,3.91,6.91,3.21
2021,4,30,99.89,9.54,11.39,7.52,3.87,297.5,13.01,14.92,10.36,4.56,298.5,6.93,7.91,6.55
2021,5,1,100.73,5.84,9.05,2.95,6.1,278.06,8.52,12.96,5.02,7.94,279.44,8.2,8.24,3.97
2021,5,2,100.24,4.69,6.23,3.83,2.4,222.06,7.75,9.23,5.89,3.34,223.19,6.79,7.7,3.05
2021,5,3,100.01,3.68,5.23,1.55,3.68,219.0,6.16,8.44,1.88,6.55,220.5,2.98,6.74,2.38
2021,5,4,99.85,4.07,5.8,2.28,3.52,227.06,6.28,9.27,4.61,4.66,228.31,5.5,7.29,2.67
2021,5,5,99.92,4.9,8.85,2.25,6.6,270.38,7.15,11.55,3.38,8.18,270.69,5.56,7.37,3.22
2021,5,6,100.77,3.96,6.68,1.25,5.43,316.5,5.42,9.95,1.73,8.22,317.38,7.52,8.19,2.77
2021,5,7,100.38,2.88,4.32,0.59,3.72,229.12,3.96,6.62,0.77,5.86,229.56,3.41,7.71,1.99
2021,5,8,100.61,4.75,8.29,2.16,6.12,295.94,7.02,10.41,3.42,6.99,295.88,6.53,7.99,3.15
2021,5,9,100.62,4.46,8.0,0.85,7.15,228.25,6.85,12.13,0.91,11.23,229.94,5.17,7.69,2.98
2021,5,10,100.52,5.3,7.77,3.11,4.66,311.12,7.63,11.38,6.17,5.2,311.31,5.7,7.93,3.59
2021,5,11,101.09,3.9,6.45,1.62,4.83,312.56,6.09,10.14,1.8,8.34,312.69,6.25,8.03,2.64
