YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,T2M,T2MDEW,T2MWET,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,DATE
2021,5,1,8.35,8.34,0.79,12.43,2.53,7.48,101.01,2.95,4.22,1.77,2.45,284.81,5.7,8.21,2.88,5.34,285.69,2021-05-01
2021,5,2,6.74,7.77,0.63,17.23,11.9,14.57,100.6,2.89,3.72,2.29,1.44,215.0,5.4,6.88,3.19,3.7,216.56,2021-05-02
2021,5,3,3.25,6.81,0.3,20.8,18.86,19.83,100.25,3.1,4.52,1.9,2.62,209.31,5.81,7.38,2.93,4.45,211.75,2021-05-03
2021,5,4,6.54,7.35,0.61,22.8,20.28,21.54,100.12,2.62,3.3,1.74,1.56,223.19,4.97,6.94,3.92,3.02,224.81,2021-05-04
2021,5,5,6.75,7.44,0.62,21.83,17.6,19.72,100.08,3.26,4.93,2.16,2.77,269.5,5.91,7.8,4.04,3.77,270.5,2021-05-05
2021,5,6,8.1,8.26,0.75,13.84,5.86,9.85,100.9,2.16,3.7,0.77,2.92,275.56,3.62,6.72,1.18,5.54,275.75,2021-05-06
2021,5,7,3.48,7.76,0.32,11.82,8.04,9.93,100.53,1.77,2.83,0.73,2.1,227.25,2.95,4.59,1.06,3.54,227.12,2021-05-07
2021,5,8,7.21,8.09,0.66,12.42,5.95,9.19,100.78,3.12,5.01,1.68,3.33,222.0,5.63,7.66,2.64,5.02,222.25,2021-05-08
2021,5,9,6.2,7.84,0.57,15.53,8.95,12.24,100.82,3.28,5.11,1.47,3.64,159.62,6.16,10.6,2.82,7.78,161.38,2021-05-09
2021,5,10,3.44,7.3,0.31,16.19,12.13,14.15,100.62,2.5,4.53,1.49,3.05,192.88,4.7,7.47,2.57,4.9,206.31,2021-05-10
2021,5,11,6.87,8.04,0.62,15.03,8.22,11.62,101.21,1.89,2.75,1.32,1.43,236.75,3.66,6.0,1.85,4.15,236.94,2021-05-11
